"","n.patches_500_agriculture","n.patches_500_bare_earth","n.patches_500_grass","n.patches_500_tree_canopy","n.patches_500_urban","n.patches_500_water","total.area_500_agriculture","total.area_500_bare_earth","total.area_500_grass","total.area_500_tree_canopy","total.area_500_urban","total.area_500_water","prop.landscape_500_agriculture","prop.landscape_500_bare_earth","prop.landscape_500_grass","prop.landscape_500_tree_canopy","prop.landscape_500_urban","prop.landscape_500_water","patch.density_500_agriculture","patch.density_500_bare_earth","patch.density_500_grass","patch.density_500_tree_canopy","patch.density_500_urban","patch.density_500_water","total.edge_500_agriculture","total.edge_500_bare_earth","total.edge_500_grass","total.edge_500_tree_canopy","total.edge_500_urban","total.edge_500_water","edge.density_500_agriculture","edge.density_500_bare_earth","edge.density_500_grass","edge.density_500_tree_canopy","edge.density_500_urban","edge.density_500_water","landscape.shape.index_500_agriculture","landscape.shape.index_500_bare_earth","landscape.shape.index_500_grass","landscape.shape.index_500_tree_canopy","landscape.shape.index_500_urban","landscape.shape.index_500_water","largest.patch.index_500_agriculture","largest.patch.index_500_bare_earth","largest.patch.index_500_grass","largest.patch.index_500_tree_canopy","largest.patch.index_500_urban","largest.patch.index_500_water","mean.patch.area_500_agriculture","mean.patch.area_500_bare_earth","mean.patch.area_500_grass","mean.patch.area_500_tree_canopy","mean.patch.area_500_urban","mean.patch.area_500_water","sd.patch.area_500_agriculture","sd.patch.area_500_bare_earth","sd.patch.area_500_grass","sd.patch.area_500_tree_canopy","sd.patch.area_500_urban","sd.patch.area_500_water","min.patch.area_500_agriculture","min.patch.area_500_bare_earth","min.patch.area_500_grass","min.patch.area_500_tree_canopy","min.patch.area_500_urban","min.patch.area_500_water","max.patch.area_500_agriculture","max.patch.area_500_bare_earth","max.patch.area_500_grass","max.patch.area_500_tree_canopy","max.patch.area_500_urban","max.patch.area_500_water","mean.perim.area.ratio_500_agriculture","mean.perim.area.ratio_500_bare_earth","mean.perim.area.ratio_500_grass","mean.perim.area.ratio_500_tree_canopy","mean.perim.area.ratio_500_urban","mean.perim.area.ratio_500_water","sd.perim.area.ratio_500_agriculture","sd.perim.area.ratio_500_bare_earth","sd.perim.area.ratio_500_grass","sd.perim.area.ratio_500_tree_canopy","sd.perim.area.ratio_500_urban","sd.perim.area.ratio_500_water","min.perim.area.ratio_500_agriculture","min.perim.area.ratio_500_bare_earth","min.perim.area.ratio_500_grass","min.perim.area.ratio_500_tree_canopy","min.perim.area.ratio_500_urban","min.perim.area.ratio_500_water","max.perim.area.ratio_500_agriculture","max.perim.area.ratio_500_bare_earth","max.perim.area.ratio_500_grass","max.perim.area.ratio_500_tree_canopy","max.perim.area.ratio_500_urban","max.perim.area.ratio_500_water","mean.shape.index_500_agriculture","mean.shape.index_500_bare_earth","mean.shape.index_500_grass","mean.shape.index_500_tree_canopy","mean.shape.index_500_urban","mean.shape.index_500_water","sd.shape.index_500_agriculture","sd.shape.index_500_bare_earth","sd.shape.index_500_grass","sd.shape.index_500_tree_canopy","sd.shape.index_500_urban","sd.shape.index_500_water","min.shape.index_500_agriculture","min.shape.index_500_bare_earth","min.shape.index_500_grass","min.shape.index_500_tree_canopy","min.shape.index_500_urban","min.shape.index_500_water","max.shape.index_500_agriculture","max.shape.index_500_bare_earth","max.shape.index_500_grass","max.shape.index_500_tree_canopy","max.shape.index_500_urban","max.shape.index_500_water","prop.like.adjacencies_500_agriculture","prop.like.adjacencies_500_bare_earth","prop.like.adjacencies_500_grass","prop.like.adjacencies_500_tree_canopy","prop.like.adjacencies_500_urban","prop.like.adjacencies_500_water","aggregation.index_500_agriculture","aggregation.index_500_bare_earth","aggregation.index_500_grass","aggregation.index_500_tree_canopy","aggregation.index_500_urban","aggregation.index_500_water","lanscape.division.index_500_agriculture","lanscape.division.index_500_bare_earth","lanscape.division.index_500_grass","lanscape.division.index_500_tree_canopy","lanscape.division.index_500_urban","lanscape.division.index_500_water","patch.cohesion.index_500_agriculture","patch.cohesion.index_500_bare_earth","patch.cohesion.index_500_grass","patch.cohesion.index_500_tree_canopy","patch.cohesion.index_500_urban","patch.cohesion.index_500_water","edge.density_500_total"
"AAA",0,2,2553,409,257,21,0,1508.04000000003,179072.280000004,240814.440000006,361290.240000008,2498.04000000006,0,0.00192062222841696,0.228064375919276,0.306698473772434,0.460135053350108,0.00318147472976492,0,2.54717677039987e-06,0.00325147114741544,0.000520897649546774,0.000327312214996384,2.67453560891987e-05,0,294.000000000003,96061.2000000011,55760.4000000006,78778.8000000009,726.000000000008,0,0.000374434985248786,0.12234242858837,0.0710157977941033,0.10033176467999,0.000924625167655164,NA,1.88461538461538,56.7335223245925,28.4028117359413,32.7589820359281,3.62275449101796,NA,0.00161251572626938,0.0375399346374063,0.0215041832793536,0.377699599828341,0.00262853359644651,NA,754.020000000017,70.1419036427748,588.788361858204,1405.79859922182,118.954285714288,NA,724.218765291279,656.534453994471,1617.02344900893,18505.1441334165,449.171879847485,NA,241.920000000006,0.360000000000008,0.360000000000008,0.360000000000008,0.360000000000008,NA,1266.12000000003,29475.7200000007,16884.7200000004,296563.320000007,2063.88000000005,NA,0.254535369023922,3.86259964726825,0.721488925963275,1.88722967970026,3.02158150270668,NA,0.124064056620658,2.25705468664646,1.14537144936579,2.08350419246977,1.85314457795264,NA,0.166808833285943,0.086471170169888,0.0962088337201859,0.156185210780924,0.158148729577299,NA,0.342261904761901,6.66666666666659,6.66666666666659,6.66666666666659,6.66666666666659,NA,1.40295733678087,1.4294624863392,1.4796108037013,1.64910943783942,1.34271927413531,NA,0.107528681495886,0.652767913136889,0.543336966579461,1.61874677441924,0.32597538026661,NA,1.32692307692308,1,1,1,1,NA,1.47899159663866,7.33502538071066,5.22689075630252,25.5148678414097,2.16,NA,0.943175229038618,0.851053635836736,0.932866920701425,0.936657215760002,0.916453773389491,NA,98.605722599418,92.0840316678998,96.6449437294102,96.8259454089541,96.8054846473634,NA,0.999997304863416,0.998195384015179,0.998039596965419,0.856981575037607,0.999992972955495,NA,9.8084125193415,9.89011385532357,9.89364531274361,9.98011727384622,9.84424811231554,0.294989051215367
"AAB",0,0,2535,432,352,8,0,0,200023.199999995,246004.919999994,339116.759999992,39.2399999999991,0,0,0.254746873892457,0.313308577865788,0.43189457270226,4.99755394951187e-05,0,0,0.00322854211570155,0.000550189425634347,0.00044830249496132,1.01886930673027e-05,0,0,97498.7999999989,59429.9999999993,77792.3999999991,81.599999999999,0,0,0.12417316845379,0.0756892536237242,0.0990753608211039,0.000103924669286487,NA,NA,54.4929577464789,29.9425634824667,33.3815653964985,3.23809523809524,NA,NA,0.0260542202509139,0.0185367987319968,0.321664121276421,2.33830505894592e-05,NA,NA,78.9046153846135,569.45583333332,963.399886363614,4.90499999999989,NA,NA,659.696245204441,1528.23676037626,13482.0309611045,5.95575831803604,NA,NA,0.359999999999992,0.359999999999992,0.359999999999992,0.359999999999992,NA,NA,20457.3599999995,14554.7999999997,252565.559999994,18.3599999999996,NA,NA,3.94104145981166,0.727848674812264,1.90047432467379,3.65226715686279,NA,NA,2.27681203731095,1.00187414638246,2.06748707882207,1.87079025927008,NA,NA,0.0560545857421747,0.130841760043729,0.17496922383242,1.17647058823531,NA,NA,6.66666666666674,6.66666666666674,6.66666666666674,6.66666666666674,NA,NA,1.42768988726924,1.48967973993488,1.60644060853007,1.21592261904762,NA,NA,0.658593145244242,0.594222961321472,1.31791309178432,0.210855901429864,NA,NA,1,1,1,1,NA,NA,5.67763157894737,5.20843672456576,21.972553699284,1.66666666666667,NA,NA,0.863732076354583,0.930060251980802,0.9334701348362,0.524475524475524,NA,NA,92.812969419211,96.4930698001524,96.6586788803639,76.1421319796954,NA,NA,0.998185641885636,0.998140038149623,0.895985711340098,0.999999999285062,NA,NA,9.89325604619997,9.89275128625702,9.97785152611055,8.23511393734351,0.299041707567905
"AAC",0,5,2834,608,578,9,0,6067.44000000014,177765.840000004,120911.040000003,479717.640000011,744.840000000017,0,0.00772718728365572,0.226393658333066,0.153986236492094,0.610944327023149,0.000948590868036293,0,6.36774923497846e-06,0.00360924026638579,0.00077431830697338,0.00073611181156351,1.14619486229612e-05,0,766.800000000009,104125.200000001,41292.0000000005,94899.6000000011,406.800000000005,0,0.000976558022676308,0.132608632528397,0.0525874202821467,0.120859371059954,0.000518080077757854,NA,2.45769230769231,61.7147937411095,29.6637931034483,34.2498917280208,3.72527472527473,NA,0.00357933731597841,0.0689161122904183,0.00615735880025491,0.594445998175258,0.000760156432674806,NA,1213.48800000003,62.7261256175032,198.866842105268,829.961314878912,82.7600000000019,NA,996.498578584057,1075.36532436659,373.705648101947,19414.2364718181,195.68495700999,NA,161.280000000004,0.360000000000008,0.360000000000008,0.360000000000008,0.720000000000017,NA,2810.52000000007,54113.4000000013,4834.80000000011,466763.040000011,596.880000000014,NA,0.197703046871032,3.7291818180781,0.802872654459711,3.55926171696097,2.50353701913335,NA,0.146353234472841,2.07648224561945,1.05499467122604,1.86774317861438,1.48093114728415,NA,0.0866743520771947,0.128540857126765,0.151402333085131,0.182546587236211,0.343787696019296,NA,0.453869047619042,6.66666666666659,6.66666666666659,6.66666666666659,4.99999999999994,NA,1.21501272661213,1.45578193958851,1.31661494594255,1.25558384190052,1.54409030445616,NA,0.116199977685475,0.726232417144239,0.285401428182557,1.29909890458329,0.562210536690817,NA,1.13541666666667,1,1,1,1,NA,1.41860465116279,8.31701030927835,3.01197604790419,31.1698858647937,2.51428571428571,NA,0.962791510175561,0.838469263998347,0.902540296655894,0.942363131294911,0.848559303104758,NA,98.8668978713226,91.3438898702268,95.0415170422686,97.1167824412674,93.8720039535458,NA,0.999981615751408,0.994668294157142,0.999823507607542,0.646619408244285,0.999999403156361,NA,9.84970617732002,9.93462829883434,9.76002752261085,9.9842380625656,9.71711383114268,0.307550061970932
"AAD",0,2,2538,445,438,26,0,796.320000000018,129715.200000003,141833.520000003,512820.720000012,19.0800000000004,0,0.00101418157793266,0.165203393381869,0.180637109600843,0.653121015428673,2.43000106828349e-05,0,2.54717093111471e-06,0.00323235991158457,0.000566745532173023,0.000557830433914121,3.31132221044912e-05,0,244.800000000003,98827.2000000011,41895.6000000005,88896.000000001,86.400000000001,0,0.000311773721968444,0.125864885521731,0.0533576272308053,0.113216653546188,0.000110037784224157,NA,2.14736842105263,68.5728559533722,27.796974522293,31.0217755443886,4.8,NA,0.000659768214577347,0.0116511673862679,0.00653853683675299,0.610259006019525,1.00867968872145e-05,NA,398.160000000009,51.1092198581572,318.727011235962,1170.82356164386,0.733846153846171,NA,169.535921857291,276.011576890602,565.034901935094,22896.3353096847,1.47373559887271,NA,278.280000000006,0.360000000000008,3.24000000000008,0.360000000000008,0.360000000000008,NA,518.040000000012,9148.32000000021,5133.96000000012,479166.120000011,7.92000000000018,NA,0.318102174950799,3.67643328713641,0.532574912657816,3.31911331968499,6.11888111888105,NA,0.0502024813595982,2.16786729618248,0.325649712109218,2.06795784525991,1.03659125896265,NA,0.282603659949035,0.20502124980324,0.153575357535752,0.154636141637057,2.4242424242424,NA,0.353600689952562,6.66666666666659,3.93939393939389,6.66666666666659,6.66666666666659,NA,1.53477443609023,1.48629861664807,1.3842120038691,1.33691193428343,1.02307692307692,NA,0.0996861063702841,0.752259894560599,0.374297045738783,1.30560003133758,0.11766968108291,NA,1.46428571428571,1,1.05263157894737,1,1,NA,1.60526315789474,8.42196531791907,3.75313807531381,26.7534662045061,1.6,NA,0.911840968020743,0.794878181211363,0.915144061627679,0.949313806924467,0.191011235955056,NA,97.4820974820975,88.7196829752071,95.7217925837795,97.4815008417012,37.3626373626374,NA,0.999999439097071,0.99967575113009,0.999696747824765,0.627431344988837,0.999999999889217,NA,9.70289184796917,9.80675760120651,9.80726058652337,9.98402637522061,7.5631239729588,0.292860977804917
"AAE",0,10,1485,470,189,13,0,498.599999999988,279150.479999993,258280.199999994,238469.039999994,8794.07999999979,0,0.000635003599117872,0.355518570989734,0.328938741638355,0.303707779137954,0.0111999046348385,0,1.27357320320475e-05,0.00189125620675905,0.000598579405506231,0.000240705335405697,1.65564516416617e-05,0,245.999999999997,79540.7999999991,45410.3999999995,55310.3999999993,2763.59999999997,0,0.000313299007988364,0.101301031441467,0.0578334685868082,0.070441843298535,0.0035196469043766,NA,2.73333333333333,37.6186152099886,22.3256637168142,28.3120393120393,7.35782747603834,NA,0.000563479728025895,0.0974521913355249,0.153459967264074,0.24440073541211,0.00742243557120522,NA,49.8599999999988,187.980121212117,549.532340425519,1261.74095238092,676.467692307677,NA,138.18188882773,2287.32765617122,5669.52807138127,13950.8674974664,1608.06390406884,NA,0.719999999999983,0.359999999999992,0.359999999999992,0.359999999999992,0.359999999999992,NA,442.43999999999,76518.7199999982,120495.599999997,191901.599999996,5828.03999999986,NA,2.87745909049818,3.89244870132697,1.33729976480055,1.9815477567469,2.58478109016845,NA,1.23666128254868,2.2749041945007,1.77148952892847,2.05901095677972,2.87309748095726,NA,0.246813127203692,0.0586809542033429,0.0479818350213623,0.117290026246721,0.247699054913833,NA,5.00000000000006,6.66666666666674,6.66666666666674,6.66666666666674,6.66666666666674,NA,1.44761345852895,1.43209606283204,1.46327609313754,1.6987907028379,1.98220887851305,NA,0.489991044536283,0.748616358382286,0.484340508071599,1.6098036934484,1.17777890473218,NA,1,1,1,1,1,NA,2.33333333333333,7.33502538071066,4.16062176165803,21.5557837097878,4.71764705882353,NA,0.86218487394958,0.918022162857426,0.948609794585844,0.932757564263414,0.909966965734279,NA,95.1762523191095,95.8348019526504,97.4778728644741,96.639661426844,95.9005417876934,NA,0.99999968094135,0.987321617326194,0.975317780078256,0.940163690788952,0.999940019919745,NA,9.68922112167071,9.95026327348688,9.96232102283455,9.97661474647694,9.89492174504743,0.233409289239175
"AAF",0,5,1680,444,428,9,0,2390.03999999994,185117.039999996,94393.4399999978,502297.559999988,988.919999999977,0,0.00304391183246793,0.235761723003565,0.120217782515503,0.6397171119746,0.00125947067386495,0,6.36790981001993e-06,0.0021396176961667,0.00056547039112977,0.000545093079737706,1.14622376580359e-05,0,488.399999999994,85715.999999999,31594.7999999996,77186.3999999991,953.999999999989,0,0.000622017430242739,0.109166351455132,0.040238567373123,0.0983032067520233,0.00121499719175179,NA,2.49693251533742,49.7770034843206,25.6868292682927,27.2204824375793,7.57142857142857,NA,0.00154190020975895,0.0806061231273569,0.00861868573983013,0.618014052703369,0.000462157422371995,NA,478.007999999989,110.188714285712,212.597837837833,1173.59242990651,109.879999999997,NA,479.360067923883,1654.02319651646,523.435849564488,23454.9717407546,135.563636717223,NA,0.359999999999992,0.359999999999992,0.719999999999983,0.359999999999992,0.719999999999983,NA,1210.67999999997,63290.8799999985,6767.27999999984,485256.599999989,362.879999999992,NA,1.54813644600826,3.39220864640626,0.616151915361841,3.28442649038366,2.05660536178766,NA,2.86323091476777,2.04636719232188,0.471978555684262,1.81095036000671,1.38990094908892,NA,0.144712062642484,0.0803179711460449,0.111004716813847,0.138609552142105,0.712820512820521,NA,6.66666666666674,6.66666666666674,5.00000000000006,6.66666666666674,5.00000000000006,NA,1.27143656835775,1.48780023741989,1.29521938077984,1.32316117484606,2.19835693536674,NA,0.195236173208652,0.818653020003866,0.351669485403378,1.19680407927421,1.50981001167477,NA,1,1,1,1,1,NA,1.53571428571429,12.4600715137068,4.41732283464567,24.1287128712871,5.6875,NA,0.940518816222141,0.870110505174304,0.904386304170593,0.954938659074478,0.747177611702973,NA,98.1395348837209,93.1844715592024,95.1652995989553,97.7777969061527,87.1961402857673,NA,0.999996656057975,0.992516375624045,0.999770577514165,0.618020564662783,0.999999585280126,NA,9.78294971994464,9.94621993866402,9.80369259969121,9.98435349739708,9.61320193029344,0.249545140202273
"AAG",0,5,1764,299,594,1,0,5169.59999999988,194607.719999995,347625.359999992,236808.719999994,973.079999999977,0,0.00658393044141677,0.24784967731405,0.442730808943142,0.301596282188359,0.0012393011130327,0,6.3679302474243e-06,0.00224660579129129,0.000380802228795973,0.000756510113394006,1.27358604948486e-06,0,839.99999999999,87459.599999999,43102.7999999995,65643.5999999992,166.799999999998,0,0.00106981228156727,0.111387326453525,0.0548951247737353,0.0836027731979633,0.000212434153054072,NA,2.91666666666667,49.5465669612508,18.2700915564598,33.7048675292668,1.33653846153846,NA,0.00233509455000944,0.0864324266827077,0.32895489732553,0.211174067016709,0.0012393011130327,NA,1033.91999999998,110.321836734691,1162.62662207355,398.667878787869,973.079999999977,NA,732.769321956081,1680.56188755632,14940.5730128418,6936.61832605555,NA,NA,23.3999999999995,0.359999999999992,0.359999999999992,0.359999999999992,973.079999999977,NA,1833.47999999996,67865.3999999984,258290.279999994,165810.599999996,973.079999999977,NA,0.437721160160554,3.52148124356938,0.668919215726468,3.15685552718287,0.171414477740784,NA,0.616322154408668,2.16261930687725,0.808389681930108,2.08403241207542,NA,NA,0.116499770927418,0.116400993731711,0.0668782425726597,0.14390007173904,0.171414477740784,NA,1.53846153846156,6.66666666666674,6.66666666666674,6.66666666666674,0.171414477740784,NA,1.46588054845176,1.51894114369716,1.36632079665536,1.34837495117162,1.33653846153846,NA,0.380721706886164,0.816157746831959,0.574840135004407,1.12645108478742,NA,NA,1.07594936708861,1,1,1,1.33653846153846,NA,1.96899224806202,8.05696202531646,8.49262536873156,22.2886597938144,1.33653846153846,NA,0.952413324269205,0.873690358281407,0.963481568201239,0.920159497105393,0.949864743011722,NA,98.3848314606742,93.3858363982762,98.2401261399295,95.9603677678749,99.3398717465108,NA,0.999987846588667,0.991888774197371,0.891447945761426,0.953565426587155,0.999998464132751,NA,9.83389901289546,9.94472792552363,9.97790171252128,9.97442790053428,9.80101578118259,0.251167470859845
"AAH",0,39,1003,177,100,25,0,1213.92000000003,225016.920000005,377449.920000009,162358.200000004,19167.8400000004,0,0.00154598763026505,0.286570264037448,0.480701287864547,0.206771260768501,0.0244111996992385,0,4.9668444032832e-05,0.00127737049653668,0.000225418322918237,0.000127354984699569,3.18387461748923e-05,0,1452.00000000002,56808.0000000007,40422.0000000005,29172.0000000003,3942.00000000005,0,0.00184919437783777,0.0723478197081321,0.0514794319152605,0.0371519961365588,0.00502033349685708,NA,10.3418803418803,29.9241466498104,16.44775390625,18.0877976190476,7.11038961038961,NA,0.000248036568200887,0.0812528368322842,0.102087450083214,0.0916226909904499,0.0127163442802584,NA,31.1261538461546,224.343888335,2132.48542372886,1623.58200000004,766.713600000018,NA,52.9535562453408,2708.44582110646,8939.80313839239,8493.04855365865,2303.87222523825,NA,0.360000000000008,0.360000000000008,0.360000000000008,0.360000000000008,0.360000000000008,NA,194.760000000005,63800.2800000015,80159.7600000019,71942.7600000017,9984.96000000023,NA,2.88093252625316,3.84330205816043,0.930119467510954,2.19545356858984,3.80844621878002,NA,1.89420198818357,2.32260893064722,1.37802701350708,2.10227298600815,2.59972312150455,NA,0.825320512820503,0.0479433632579663,0.036781547250141,0.0775193798449603,0.167051245072587,NA,6.66666666666659,6.66666666666659,6.66666666666659,6.66666666666659,6.66666666666659,NA,1.67140123429749,1.46417692308111,1.55708152312563,1.6949207179646,1.55851576998586,NA,0.710938693686814,0.733325587390914,0.683908603233512,1.36099494845994,0.90099438424993,NA,1,1,1,1,1,NA,4.02702702702703,8.56443298969072,5.32914285714286,12.1944134078212,4.16167664670659,NA,0.69575056575308,0.927025189720633,0.968380229500302,0.947511605311454,0.940149217020579,NA,83.5068658518183,96.3349971806438,98.4898056991851,97.4500525178594,97.3374455322279,NA,0.999999765891277,0.987996375525101,0.975880549277827,0.987990169932062,0.999769549652183,NA,9.42443448238827,9.95468056443311,9.95963730216316,9.96296099123355,9.92152301189777,0.167848775634646
"AAI",0,1,2341,389,610,10,0,1361.87999999997,113835.239999997,232311.959999995,437468.03999999,203.039999999995,0,0.00173448091199859,0.144979771266763,0.295870899234132,0.557156258252883,0.000258590334223422,0,1.27359305665597e-06,0.00298148134563163,0.000495427699039172,0.000776891764560141,1.27359305665597e-05,0,237.599999999997,83505.599999999,53767.1999999994,82595.999999999,290.399999999997,0,0.000302605710261455,0.106352152351889,0.068477532595832,0.105193692107555,0.000369851423652889,NA,1.59677419354839,61.856,27.8817672682016,31.2154195011338,5.04166666666667,NA,0.00173448091199859,0.0124939478857948,0.0411025668300126,0.44163240191907,0.000114164881598638,NA,1361.87999999997,48.6267577958126,597.202982005127,717.160721311459,20.3039999999995,NA,NA,321.181078795151,2455.24889886135,14050.9061492236,26.3717303186569,NA,1361.87999999997,0.359999999999992,0.359999999999992,0.359999999999992,0.359999999999992,NA,1361.87999999997,9809.99999999977,32272.9199999992,346760.999999992,89.6399999999979,NA,0.174464710547187,3.49030023763885,1.11963902178432,2.96463015113456,2.53500586641136,NA,NA,2.02161597476145,1.51008549818203,2.15514930085668,1.77277547492753,NA,0.174464710547187,0.236851271334033,0.114265149129517,0.13719535933972,1.05756358768408,NA,0.174464710547187,6.66666666666674,6.66666666666674,6.66666666666674,6.66666666666674,NA,1.59677419354839,1.46882970896154,1.50318507316668,1.39934672895939,1.60014728327228,NA,NA,0.698557085476111,0.699691502549051,0.992696276715675,0.50627507625345,NA,1.59677419354839,1,1,1,1,NA,1.59677419354839,9.28057553956834,7.40368852459016,20.1961283749363,2.46875,NA,0.948995363214838,0.80174528422834,0.932896419724613,0.944918550196702,0.646715328467153,NA,99.0056436441817,89.1551149783064,96.6486813574706,97.2561674971264,82.037037037037,NA,0.999996991575966,0.999599480407357,0.995981077684121,0.804467440025194,0.999999983160414,NA,9.83075336843065,9.83484266244085,9.92436348221416,9.98074581602921,9.11613187494107,0.28069583418919
"AAJ",0,2,763,193,244,60,0,2893.68000000007,124154.640000003,51775.5600000012,604910.880000014,1467.36000000003,0,0.003685267686236,0.158118065193201,0.0659391495275127,0.770388750351311,0.00186876724173898,0,2.5471148753393e-06,0.000971724324941943,0.000245796585470242,0.000310748014791395,7.6413446260179e-05,0,475.200000000006,43988.4000000005,15682.8000000002,40598.4000000005,1854.00000000002,0,0.000605194494380625,0.0560217539911883,0.0199729465834858,0.0517043942774881,0.00236117548943956,NA,2.2,31.1974468085106,17.2187088274045,13.0474354030081,12.0703125,NA,0.00270136815218991,0.0650675777594691,0.0096042532335496,0.757249611093765,0.000598775764894776,NA,1446.84000000003,162.719056356491,268.267150259074,2479.14295081973,24.4560000000006,NA,953.575920836953,1951.16009994924,755.436027713389,38062.4660100532,81.7345773603283,NA,772.560000000018,0.360000000000008,0.360000000000008,0.360000000000008,0.360000000000008,NA,2121.12000000005,51091.2000000012,7541.28000000018,594594.000000014,470.160000000011,NA,0.17670006898534,3.0846190546587,0.706503817896621,2.98571021122147,4.11759449796941,NA,0.0378716102539666,2.06382162641144,0.703064573881961,1.94091777251148,1.6758884116788,NA,0.149920796560306,0.120942075111393,0.145598625167079,0.0570419479510382,0.775969962453057,NA,0.203479341410374,6.66666666666659,6.66666666666659,6.66666666666659,6.66666666666659,NA,1.56469068565843,1.5460894190369,1.35694166792199,1.36770452611362,1.51829343441287,NA,0.220742523298775,0.73779610698349,0.370476184513328,0.743208123931737,0.928008526249422,NA,1.40860215053763,1,1,1,1,NA,1.72077922077922,6.97612732095491,3.1551724137931,10.9933877868534,5.35616438356164,NA,0.951918406993686,0.899072831271811,0.913079335308652,0.980066272925672,0.681344745797669,NA,98.6411675893306,94.847024208036,95.7090521222938,99.0697204873225,82.3404785643071,NA,0.999991734551813,0.995262035373242,0.999799752721388,0.426566204309845,0.999999302501005,NA,9.8477309952827,9.94619650973653,9.84595297753756,9.98533322314306,9.63174527282645,0.130665464835982
